feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,target
72.34,53.51,34,51.33,59.7,39.2,62.28,57.1,648
72.46,53.49,8,57.281,73.4,37.63333333,62.28,53,1000.002
37.78,53.43,10,38.992,35.9,20.53333333,62.28,24.6,1000.002
58.32,55.73,70,36.25,59.4,62.33333333,62.27,43.2,110
129.18,54.12,52,62.089,89.4,82.9,62.27,88.5,523.6
69.14,54.1,74,58.891,54.4,44.8,62.27,53,452
30.86,54.09,72,35.313,29.7,45.16666667,62.27,30.3,235.6
46.9,54.09,60,24.375,49.6,63.23333333,62.27,45.4,224.2
27,54.08,66,29.063,26.5,41.7,62.27,25.7,230.4
103.46,54.08,56,38.438,106.9,116.7333333,62.27,95.4,261.6
80.76,54.07,68,41.339,72.5,90.53333333,62.27,75.9,270
38.42,54.07,66,23.406,48.9,47.66666667,62.27,46.7,245.2
20.5,54.07,66,22.596,26.1,28.46666667,62.27,26.9,238.8
9.96,54.06,102,14.063,11.5,12.26666667,62.27,11.2,197.6
6.88,54.06,68,31.786,10.8,10.5,62.27,11.9,235.6
19.5,54.05,72,28.929,24.3,26.96666667,62.27,23.3,236.2
55.16,54.05,56,20.734,77.1,95.9,62.27,69.4,226.6
76.54,54.04,52,31.5,81.4,112.2333333,62.27,81,259.4
39.34,54.03,84,30.375,37.8,48.63333333,62.27,34.8,236.2
46.8,54.01,72,41.25,39.2,40.43333333,62.27,38.8,426
52.24,53.61,34,26.759,58.2,27.73333333,62.27,56.4,241.2
11.8,53.61,32,48.611,13,5.933333333,62.27,12.1,373.6
127.76,53.53,6,78.915,92,70.96666667,62.27,81.9,841.2
90.98,53.51,10,61.785,78.6,41.26666667,62.27,63.2,591.8
102.24,53.49,62,103.983,77.8,51,62.27,64.8,1000.002
43.36,53.49,34,98.321,29,21.8,62.27,27.9,1000.002
47.14,55.65,30,31.755,48.4,37,62.26,44.2,163.4
69.88,54.11,56,53.637,56.6,46.36666667,62.26,52.2,429.4
54.84,54.1,58,35.072,48.8,82.56666667,62.26,53.2,243.8
54.46,54.1,52,26.779,60.4,61.56666667,62.26,49.8,272
32.26,54.08,70,34.398,29.8,30.36666667,62.26,29.3,268.6
37.36,54.07,104,42.415,31.6,31.56666667,62.26,32.8,280.2
50.08,54.07,84,30.294,55.3,51.66666667,62.26,50.9,271.4
48.76,54.06,96,28.983,59.9,50.26666667,62.26,54.8,258.4
27.82,54.06,8,14.722,50.6,24.23333333,62.26,36.9,275
23.7,54.05,60,26.25,31.7,48.86666667,62.26,30.2,188.6
49.04,54.05,58,21.354,70,100.9666667,62.26,66.5,221.4
72.46,54.03,54,34.609,80.9,123.7333333,62.26,75.4,246.6
46.36,54.02,66,37.454,46.4,63.46666667,62.26,45.1,232.8
195.1,53.97,8,56.501,174.8,155.4,62.26,158.3,509.8
758.74,53.89,8,74.947,547.1,537.4,62.26,518.9,732.6
108.32,53.85,8,69.544,82,58.43333333,62.26,58.3,628
6.56,53.73,36,41.167,6.8,13.03333333,62.26,6,175
82.68,53.62,32,56.877,74,70.1,62.26,74.5,462.8
37.78,53.62,32,34.706,59,22.86666667,62.26,53.7,483.4
42.32,53.61,34,35.625,47.4,22.06666667,62.26,44.3,361.6
55.06,53.61,32,37.422,57.6,28.56666667,62.26,54.6,459.6
34.4,53.51,58,78.239,26.9,20.4,62.26,25.8,1000.002
131.28,53.46,18,48.9,131.6,57.33333333,62.26,90.4,908.2
108.22,54.12,50,43.148,99.8,74.76666667,62.25,101.9,481.4
161.38,54.1,42,32.756,217.4,145.6333333,62.25,203.6,313.6
61.88,54.09,72,42.143,55.6,55.73333333,62.25,54.5,293.8
56.48,54.08,66,36.359,52.3,59.9,62.25,49.3,270.2
21.34,54.08,66,40.368,19.4,20,62.25,20.1,278.2
51,54.07,104,16.006,58.6,41.53333333,62.25,57.6,292.4
30.96,54.07,104,26.3,34.8,37.7,62.25,34.3,254.6
25.58,54.07,104,52.269,21.3,14.8,62.25,20.4,322
1.24,54.06,104,4.999,0.9,1.466666667,62.25,1.6,225
0.48,54.06,104,16.25,0.6,1.533333333,62.25,0.7,135
23.42,54.06,104,19.762,31.8,37.53333333,62.25,27.6,211.6
9.54,54.06,88,20.156,13.5,16.73333333,62.25,11.7,225
29.6,54.05,92,19.718,35.8,50.36666667,62.25,34.8,221.2
7.56,54.05,74,21.908,9.2,16.76666667,62.25,10.3,189.2
25.86,54.05,70,16.645,33.9,49.8,62.25,31.2,186.6
8.74,54.05,54,17.206,10.8,15.63333333,62.25,9.7,215
58.96,54.04,44,31.25,63.6,86.66666667,62.25,60.2,227.2
442.56,54.01,8,61.287,352.2,348.3333333,62.25,325.8,579.2
19.68,53.95,26,75.839,12.7,12.13333333,62.25,11.9,853.8
69.82,53.84,32,66.207,50.2,49.86666667,62.25,50.9,541
49.28,53.72,20,87.603,34.7,41.36666667,62.25,36.6,725
56.98,53.71,30,32.841,53.7,29.26666667,62.25,52,316.6
49.98,53.64,18,55.342,49.2,37.03333333,62.25,54.2,364.6
49.98,53.61,34,31.779,56.6,26.03333333,62.25,52.2,373
98.88,53.6,10,49,116.4,57.56666667,62.25,94.8,511.2
174.22,53.54,42,50.907,154.4,105.7666667,62.25,139.6,756.4
40.28,55.63,24,39.261,37.2,34.23333333,62.24,35.6,202.6
0.36,55.22,8,16.25,0.3,0.266666667,62.24,0.6,550
59.62,54.71,30,29.541,62.5,56.46666667,62.24,54,213.4
335.18,54.13,16,74.837,227.4,241.6333333,62.24,215.6,717.4
98.7,54.11,44,39.825,95.4,95.8,62.24,93.8,361
81.72,54.1,56,26.21,87.1,65.76666667,62.24,85.3,404.4
45.26,54.08,74,29.388,50.2,55.9,62.24,52.2,278.4
30.76,54.07,102,23.156,39.4,39.1,62.24,38.8,219.6
23.14,54.07,96,28.594,24.7,22.56666667,62.24,21.8,254.4
10.16,54.06,94,19.583,10.8,12.8,62.24,8.6,185.2
36.62,54.06,66,19.937,48.6,54.16666667,62.24,47.2,207.2
76.78,54.05,72,23.859,100.4,157.0333333,62.24,94.2,232.4
44.84,54.04,72,34.464,44.8,68.4,62.24,44.7,226
38.28,54.04,68,28.347,36.4,52.13333333,62.24,32.8,231.6
193.24,53.98,6,67.172,138.5,83.23333333,62.24,85.6,584.8
21.84,53.94,80,51.165,21.3,15.23333333,62.24,19,368.4
96.76,53.88,18,66.536,75.9,69.66666667,62.24,69.5,615.6
79.46,53.87,32,64.265,59.5,65.7,62.24,57.5,527.4
63.64,53.87,32,70.592,42.9,55.43333333,62.24,42.8,576.4
73.32,53.86,28,101.316,44.2,46.66666667,62.24,43.3,1000.002
75.28,53.84,30,87.124,51,48.26666667,62.24,46.8,821
61.72,53.83,30,64.415,45.7,42.06666667,62.24,43.6,601.4
11.64,53.81,4,71.193,7,6.633333333,62.24,6.4,1000.002
179.48,53.79,8,82.653,126.8,125.1333333,62.24,124.1,748
18.82,53.72,30,43.636,26.6,12.2,62.24,24.8,296.8
60.22,53.72,28,79.739,38.8,45.3,62.24,37.1,737.4
90.16,53.72,22,104.498,61.8,66.43333333,62.24,57.3,772.2
86.42,53.71,28,83.634,58.2,67.5,62.24,57.8,710.2
80.5,53.7,24,79.125,57.4,68.06666667,62.24,58.8,689.8
61.7,53.53,56,79.794,49.9,39.2,62.24,48,852.2
42.1,53.53,48,106.349,34.6,23.73333333,62.24,33.2,1000.002
64.48,53.53,36,84.614,56.1,43.66666667,62.24,58,783.8
76.64,53.48,76,50.044,80.9,44.4,62.24,63.6,762.4
39.96,54.11,56,37.5,41.4,37.46666667,62.23,38.9,361.8
59.52,54.07,58,30.638,66.2,81.73333333,62.23,63.3,227.2
108.3,53.85,26,73.681,82.7,68.7,62.23,71.4,706.2
87.6,53.84,10,67.274,71.5,63.76666667,62.23,74.1,532.8
79.46,53.8,32,98.074,48.3,45.76666667,62.23,45.2,834
70.64,53.76,38,110.124,40.2,40,62.23,42.6,1000.002
56.3,53.72,20,65.743,43.1,39.36666667,62.23,39.8,557.4
81,53.71,10,75.847,58.4,66.2,62.23,59.8,751.4
32.92,53.71,8,55.631,32.1,28.63333333,62.23,30,455.6
38.78,53.71,26,81.111,24.7,30.93333333,62.23,24.4,759.6
48.92,53.7,8,37.147,62.2,43.83333333,62.23,56,275
72.72,53.7,6,55.464,74.9,49.53333333,62.23,69.6,415
27.84,53.7,30,54.248,26.7,22.7,62.23,26.3,374.4
10,53.69,30,50.631,11.3,8.7,62.23,11.6,308
28.26,53.69,28,37.988,37.2,24.8,62.23,33.8,368.2
86.58,53.67,24,45.094,106.8,63.76666667,62.23,97.8,320.4
4.94,53.6,66,37.059,8,5.566666667,62.23,7,475
40.48,53.55,56,67.861,29.7,20.56666667,62.23,27.4,998.2
61.8,53.54,94,41.699,65.2,36.83333333,62.23,58.2,747.4
68.08,53.54,56,72.217,49.7,37.8,62.23,46.6,1000.002
20.66,53.53,92,32.708,22.3,15.4,62.23,22.4,769.4
62.32,53.53,64,51.837,66.1,36.83333333,62.23,54.3,891.2
71.8,53.51,58,44.464,77.2,35.66666667,62.23,60.3,1000.002
205.26,54.58,12,38.803,186.4,205.4333333,62.22,178.1,240
155.96,54.13,36,58.819,116.1,123.6666667,62.22,122.7,521
141.58,54.11,46,30.735,138.1,106.8333333,62.22,132.7,424.6
52.86,54.09,64,37.177,51.6,62.06666667,62.22,47.8,354.4
72.2,54.07,36,39.784,77.2,96.63333333,62.22,76.5,227
21.12,54.06,66,24.464,27.2,32.13333333,62.22,30,257.4
58.66,54.05,78,39.224,59,62.86666667,62.22,55,262.6
641.08,54.03,16,60.191,529,516.9,62.22,505,507.8
11.12,53.97,4,84.411,6.3,5.966666667,62.22,5.4,1000.002
124.78,53.9,28,65.437,90.1,97.43333333,62.22,90.4,536.4
194.58,53.89,14,89.088,121,138.6666667,62.22,121.4,830.6
36,53.88,32,66.678,23.8,29.03333333,62.22,23.4,603.8
112.18,53.87,32,53.307,95.2,87.46666667,62.22,93.4,339.2
87.8,53.86,32,61.504,66,71.53333333,62.22,63.3,532
75.62,53.85,32,72.554,50.4,55.5,62.22,49.9,671.2
124.16,53.82,24,91.808,75,81.43333333,62.22,73.9,827.4
39.72,53.81,46,77.752,27.8,27.53333333,62.22,26,760
195.84,53.78,12,101.714,128.3,124.8,62.22,117.9,963
45.2,53.76,50,114.537,26.1,23.96666667,62.22,25.4,1000.002
19.48,53.71,8,46.141,23.2,14.26666667,62.22,20.3,390.8
44.14,53.71,32,73.518,29.1,36.03333333,62.22,30.8,662.4
33.26,53.7,32,54.09,25,19.9,62.22,20.4,467.8
94.04,53.69,32,51.299,80.6,84.3,62.22,81.4,477.8
68,53.69,32,60.961,50.1,52.5,62.22,48.8,591
50,53.68,38,61.15,33.1,34.23333333,62.22,32.7,631.2
35,53.68,28,46.793,33.6,28.4,62.22,30,473.6
39.88,53.68,22,40.187,47.7,28.3,62.22,41.1,471.2
36.66,53.51,88,66.178,33.1,17.16666667,62.22,26.8,1000.002
0.04,55.21,8,23.75,0.2,0.2,62.21,0.2,275
59.72,54.45,36,32.765,59.7,45.16666667,62.21,47.2,330
48.52,54.12,32,48.125,42.6,43.96666667,62.21,44.6,449
76.28,54.11,36,44.722,72.1,62.7,62.21,69.2,431.2
33.28,54.1,52,35.192,34.4,34.13333333,62.21,33.9,381
373.8,54.02,10,64.266,286.2,314.2333333,62.21,277.7,631.2
171.24,53.88,34,60.829,135.1,127.4,62.21,131.6,505.2
209.68,53.84,18,83.931,160.3,133.5,62.21,141.9,730.6
210.7,53.8,22,66.7,162,146.9666667,62.21,162.2,566.4
71.92,53.77,46,85.403,45.1,43.06666667,62.21,45.8,902.6
86.98,53.77,42,69.014,55.3,56,62.21,51.9,878
40.74,53.76,50,110.546,25.2,26.53333333,62.21,24.9,974.4
59.1,53.75,52,93.845,37.7,35.8,62.21,37.3,1000.002
57.86,53.75,52,134.66,34.5,32.76666667,62.21,32.6,1000.002
164.8,53.73,6,72.074,141,110.6,62.21,127,582.6
126.78,53.71,32,71.069,86.2,104.4,62.21,82.5,626.8
62.28,53.71,32,62.162,46.3,54.7,62.21,46.9,566.4
31.86,53.7,12,44.286,37.1,27.73333333,62.21,37.9,479
125.18,53.7,32,63.298,109.8,126.1666667,62.21,111.4,494.2
28.32,53.7,32,51.741,24.9,21.2,62.21,24.4,455.4
61.34,53.69,32,87.385,39.6,42.5,62.21,37.2,680
30.64,53.69,32,57.115,24,22.63333333,62.21,24.8,627.8
37.5,53.69,30,65.783,31.6,29.66666667,62.21,31.6,489.6
32.66,53.68,18,57.858,29.5,30.93333333,62.21,29.7,531.8
39.96,53.68,32,68.722,30.8,27.26666667,62.21,29.9,652.2
52.72,53.68,26,72.118,41.6,37.9,62.21,40.4,623
42.12,53.68,20,87.35,31.9,33.4,62.21,33.2,750.6
41.14,53.56,72,78.66,32.9,21.93333333,62.21,30.9,1000.002
101.32,53.55,78,38.21,129.2,63.83333333,62.21,111.7,904.2
100.78,54.11,50,47.969,82.1,88.46666667,62.2,80.2,423.4
103.06,54.1,34,35.603,116.4,98.3,62.2,108.3,349.2
90.72,54.05,10,41.118,117.8,82.83333333,62.2,90.9,251.8
84.8,54.03,50,62.384,64.3,62.83333333,62.2,63.7,495.2
67.02,54.02,46,50.869,59.1,51.16666667,62.2,52.2,461.2
116.38,53.92,32,46.315,98.6,76.86666667,62.2,91.4,555
75.2,53.9,44,78.537,48.2,49.5,62.2,46.1,709.8
119.08,53.87,32,42.566,128.1,103.5666667,62.2,120.9,412.2
60.76,53.85,46,56.403,47,52.26666667,62.2,43.8,466
59.42,53.83,34,111.228,35,39.33333333,62.2,34.6,1000.002
40.42,53.79,26,43.269,36.2,36.03333333,62.2,34.1,462.8
70.96,53.78,36,69.25,47.4,50.2,62.2,44.9,580.6
82.76,53.78,34,47.804,80.5,81.4,62.2,78,484
108.72,53.77,58,87.496,70.7,68.2,62.2,68.5,699
53.1,53.76,54,69.014,34.5,33.9,62.2,33.5,733.6
61.16,53.75,58,53.903,48.8,39.9,62.2,47.4,573.2
57.8,53.74,66,65.616,45.3,43.33333333,62.2,45.2,580.4
71.38,53.74,60,52.998,55.1,51.33333333,62.2,53.7,494.4
52.34,53.72,32,48.21,50.6,43.9,62.2,51.1,402.8
54.9,53.69,32,68.219,44.7,47.63333333,62.2,41.1,651
41.98,53.69,30,79.887,32.2,29.1,62.2,30.7,656
36,53.69,28,42.083,36.2,29.13333333,62.2,37.3,502
23.22,53.69,26,33.438,28.9,21,62.2,29.6,666.6
40.64,53.68,16,69.133,34.9,28.73333333,62.2,34,548.2
12.46,53.68,10,36.31,14.6,13.2,62.2,13.6,450
52.76,53.67,10,57.759,52.1,39.3,62.2,48,480
49.74,53.67,10,82.84,38.8,38.23333333,62.2,39.7,605
66.9,53.67,8,67.962,55.2,50.83333333,62.2,53.9,658.2
50.84,53.66,32,40,49.8,34.06666667,62.2,49.4,446.8
88.94,53.64,16,88.693,71.3,56,62.2,70.5,900.8
0.64,53.63,16,41.944,0.9,0.866666667,62.2,1.1,541.6
64.72,53.63,30,111.121,45.1,42.96666667,62.2,41.6,986
35.14,53.55,76,41.304,46.4,27.36666667,62.2,42.6,866.6
40.34,53.53,82,41.591,48.9,26.1,62.2,40.3,1000.002
23.04,53.52,100,30.53,34.1,17.3,62.2,22.5,1000.002
22.48,55.65,38,18.984,29,19.93333333,62.19,26.1,108.6
141.26,54.12,46,48.229,117.6,103.3333333,62.19,111.2,385.2
69.62,54.11,42,36.201,80.8,62.2,62.19,74.6,300.8
38.7,54.1,38,38.929,39.9,37.53333333,62.19,38.9,289.2
368.96,54.08,26,77.876,247.4,259.1666667,62.19,239.7,697.8
183.94,54.01,24,49.589,164.2,144.4,62.19,155.4,564.2
65.04,53.89,26,58.243,58.3,51.53333333,62.19,55.7,595.8
59.36,53.88,38,53.339,50.3,47.66666667,62.19,45.9,743.4
45.3,53.88,38,92.327,28.3,30.13333333,62.19,27.9,922.6
89.82,53.87,38,60.591,68,81.9,62.19,70.2,467
2.66,53.86,36,35.625,2.9,3.166666667,62.19,2.3,470
56.38,53.82,40,122.092,31.9,33.96666667,62.19,31.9,1000.002
63.08,53.81,38,89.257,39,46.8,62.19,38.4,863.6
55.3,53.8,50,60.531,47.5,55.53333333,62.19,47.4,461.4
119,53.79,50,42.564,115.5,150.9333333,62.19,106.4,409.2
62.28,53.79,46,37.5,61,68.16666667,62.19,57.7,423.8
92.48,53.77,62,72.392,62.4,61.73333333,62.19,63.5,669.2
41.06,53.76,64,55.654,33.9,27.83333333,62.19,32.3,563.6
47.3,53.75,50,37.031,47.1,39.9,62.19,45.8,455.6
69.96,53.75,46,50.21,63.6,52.46666667,62.19,64.2,504.4
53.92,53.74,48,33.047,64.9,63.6,62.19,62.6,433.8
61.12,53.73,46,47.273,55.6,50.26666667,62.19,55.5,468.4
109.42,53.73,38,35.719,134.5,94.26666667,62.19,124.7,505.6
80.44,53.73,38,30.305,97.5,77.8,62.19,95.4,281.2
25.12,53.69,10,24.233,25.6,29.33333333,62.19,28.8,900
39.28,53.68,16,51.583,41.3,30.43333333,62.19,40.6,384.4
30.9,53.68,8,45.469,30.4,26.26666667,62.19,29.6,1000.002
65.58,53.67,18,74.581,53,48.23333333,62.19,51,593.2
48.7,53.67,18,72.025,39.6,39.8,62.19,38.5,550
31.34,53.67,18,52.124,29.9,22.5,62.19,29.4,399.2
48.8,53.67,16,46.019,50.2,37.1,62.19,48.3,485
41.96,53.67,16,77.589,34.2,30.26666667,62.19,32.9,685.8
78.6,53.67,48,63.767,66.1,61.03333333,62.19,61.6,538
28.28,53.66,32,100.757,19.1,21.16666667,62.19,23,767.8
34.82,53.64,8,123.411,22.5,27.03333333,62.19,23.3,1000.002
48.08,53.64,32,110.138,34.9,28.93333333,62.19,32.9,884.2
89.54,53.63,34,81.093,61,59.93333333,62.19,61.2,820.8
125.16,53.56,48,109.601,100.3,57.66666667,62.19,75.2,1000.002
75.4,54.13,54,61.321,57.3,53.53333333,62.18,56.2,619.4
62.36,54.12,52,52.7,52.8,51.53333333,62.18,54.5,418.8
80.62,54.05,42,31.641,92.3,85.26666667,62.18,83.4,234.6
43.36,53.89,48,46.172,42.1,35,62.18,39.7,476.6
61.58,53.89,42,40.714,50.9,47.7,62.18,48,557.8
39.64,53.88,36,70.526,30,34.23333333,62.18,32.4,655
107.84,53.88,30,62.185,89.5,84.36666667,62.18,82.7,560.6
52.06,53.85,42,60.57,40.4,45,62.18,39,471.8
36.2,53.85,36,52.227,30.5,39.63333333,62.18,32.6,427
35.76,53.84,50,101.299,20.3,22.53333333,62.18,21.7,908.6
63.46,53.82,44,83.637,37.2,39.36666667,62.18,35.5,1000.002
45.2,53.81,60,60.705,34.5,39.4,62.18,34.1,473.4
51.12,53.81,38,99.055,30.4,27.4,62.18,26,913.8
64.14,53.8,30,40.484,64.7,47.13333333,62.18,59.5,331.2
89.7,53.78,56,54.562,66.7,68.26666667,62.18,68.5,549.4
99.54,53.78,50,65.8,64.5,68.7,62.18,64.6,637
46.16,53.77,64,70.565,30.1,32.23333333,62.18,32,649.2
51.56,53.77,54,71.882,31.4,32.53333333,62.18,34,718.4
55.48,53.76,66,62.944,42.8,40.96666667,62.18,40.7,531.2
64.6,53.76,54,65.308,44.9,39.76666667,62.18,44.8,575.6
58.2,53.75,60,46.161,53.5,42.33333333,62.18,48.9,473
17.86,53.75,48,28.261,20.9,11.4,62.18,19.7,293
25.4,53.73,54,50.162,25.8,26.96666667,62.18,26.4,446
16.9,53.73,48,47.039,19,16.06666667,62.18,19,450
50.84,53.73,46,38.703,77.2,57.33333333,62.18,67.5,274
69.54,53.72,48,68.634,46.2,53.1,62.18,48.4,553
142.1,53.68,6,61.395,145.9,102.2666667,62.18,124.1,716
61.36,53.68,6,79.187,49.4,45.23333333,62.18,48.6,667.2
20.2,53.67,30,25.197,27.4,21.63333333,62.18,26.1,700
84.54,53.66,48,64.238,64.1,53.5,62.18,58.9,556.8
49.2,53.66,30,64.967,44.7,34.96666667,62.18,39.8,775
42.1,53.65,36,63.822,30.2,27.66666667,62.18,28.6,725
39.48,53.64,36,98.589,26,26.93333333,62.18,27.8,1000.002
48.42,54.15,40,80.683,30.6,34.1,62.17,29.8,903
165.08,54.14,52,65.253,115.3,115.3333333,62.17,113.1,699.8
53.42,54.11,58,49.844,43.7,49.46666667,62.17,44.5,406
220.52,54.1,36,40.75,197.8,180.2333333,62.17,192.3,462.2
188.92,54.01,32,50.111,165,163.7,62.17,153.4,425.8
350.54,53.99,28,62.734,275.1,279.3333333,62.17,267.6,534
430.66,53.97,22,70.329,307.8,322.3666667,62.17,289,736.6
39.12,53.93,28,65.841,28.2,22.36666667,62.17,26.9,612.8
48.92,53.9,46,65.755,36,39.86666667,62.17,35.9,545.6
34.74,53.89,50,46.25,27,28,62.17,26.5,491.4
42.24,53.88,36,69.308,34,34.93333333,62.17,31.5,463.4
139.42,53.87,10,52.131,144.9,117.3666667,62.17,142.3,487.8
55.5,53.83,46,36.707,54.7,40.86666667,62.17,51,462.8
65.18,53.82,52,57.817,45.6,45.13333333,62.17,45.9,535.2
22,53.82,46,36.953,28.5,31.33333333,62.17,26.7,300
39.44,53.81,56,54.298,31.5,32.33333333,62.17,32.6,468.4
71,53.81,48,28.403,89.5,94.26666667,62.17,83.4,451.2
40.32,53.8,62,38.681,40.9,36.5,62.17,40.5,392
94.26,53.8,60,58.622,75.8,75.7,62.17,73,442
41.4,53.79,50,29.312,51.3,35.93333333,62.17,46,440.2
98.62,53.77,52,42.75,85.3,74.96666667,62.17,81.8,570.8
59.12,53.77,44,41.151,64.2,44.73333333,62.17,55.8,406.4
53.2,53.75,68,34.152,60.1,49.16666667,62.17,56.7,420.4
128.66,53.75,44,49.957,117.4,90.1,62.17,112.5,592.8
122.28,53.74,46,30.382,162.3,136.2666667,62.17,152.1,367.2
36.36,53.74,46,26.771,52.2,31.93333333,62.17,48.5,263
115.36,53.73,40,35.387,159.7,161.7666667,62.17,146.5,320.8
64.52,53.68,8,41.652,83.8,55.53333333,62.17,80,369
52.68,53.67,34,37.976,64.1,48.46666667,62.17,56,550
20.22,53.66,8,79.217,19.8,17.03333333,62.17,19.8,592.4
47.1,53.66,30,65.356,43.8,24.9,62.17,45,545.6
12.76,53.65,18,37.875,26.6,14.2,62.17,23.4,375
42.98,53.65,16,41.103,42.6,31.66666667,62.17,39.9,500.8
35.02,55.54,22,50.762,31.6,25.5,62.16,29.6,196
134.78,54.63,10,40.02,125.1,153.8,62.16,126.6,230.2
75.46,54.13,52,46.937,69.4,70.1,62.16,68.8,396
40.52,54.12,68,43.92,34.5,38.06666667,62.16,33.2,375.2
69.3,54.12,50,48.304,56.6,57.4,62.16,53.6,457.8
156.72,54.1,34,38.465,162.4,147.3,62.16,152.6,361.4
72.76,53.98,52,61.076,55.7,66.43333333,62.16,59.3,442.4
34.46,53.9,48,70.352,22.3,23.56666667,62.16,21.9,599.2
70.88,53.89,38,67.837,54.2,59.56666667,62.16,56,528.6
123.14,53.84,46,50.629,112.9,93.9,62.16,107.3,465.2
87.76,53.84,46,45.217,86.4,84.2,62.16,84.6,438.8
205.62,53.82,48,47.946,168.9,164.2,62.16,162.9,502.4
111.48,53.81,52,40.324,102.5,86.9,62.16,98.8,489.8
54.66,53.79,74,53.041,46,45.93333333,62.16,47.6,471.4
51.8,53.79,68,23.78,60.3,55.26666667,62.16,60.8,399.2
51.54,53.78,52,46.125,43.4,36.2,62.16,43.2,458.4
76.34,53.78,48,42.5,78.7,55.2,62.16,71.3,496
67,53.77,52,35.195,58.1,43.8,62.16,55,498.2
88.24,53.77,28,43.292,95.2,55.2,62.16,87.4,413
42.2,53.76,52,43.698,40.9,38.2,62.16,40.7,459.2
7.56,53.76,44,36.806,7.8,6.533333333,62.16,8.1,438.8
29.16,53.76,28,42.798,42.3,20.5,62.16,36.5,437.6
87.34,53.75,32,40.214,116.1,72.13333333,62.16,100.5,279
36.36,53.74,50,32.104,57.7,47.53333333,62.16,53.2,225
35.04,53.74,48,33.611,40.7,30.33333333,62.16,42.7,269.2
121.44,53.74,44,31.353,180.2,157.1666667,62.16,166.6,242.8
51.44,53.73,40,24.211,73.2,51.13333333,62.16,66.9,350
13.3,53.66,10,45.833,17.1,12.8,62.16,17.1,460.8
33.76,53.66,10,37.857,43,28.56666667,62.16,40.2,463.2
32.98,53.65,8,22.262,45.6,34.33333333,62.16,41.1,450
136.8,53.64,22,24.132,168.9,202.7666667,62.16,162.9,396.6
85.62,53.6,42,90.519,58.2,48.1,62.16,57.6,1000.002
57.98,54.14,70,61.049,42.9,41.7,62.15,42.9,594.4
31.64,54.14,70,49.091,24.8,21.8,62.15,22.1,550
39.18,54.13,62,43.145,31.8,34.03333333,62.15,30.3,466
34.96,54.11,54,31.133,40.3,32.83333333,62.15,41.6,361.2
185.1,54.11,50,45.708,165.9,164.8,62.15,162.7,446
103.58,54.1,44,45.1,94.4,77.16666667,62.15,88.4,379.8
91.12,54.09,32,64.667,63.9,68.86666667,62.15,65.1,527.8
23.2,54.08,46,81.05,16.6,15.56666667,62.15,17.8,772.4
15.22,54.07,64,111.077,10.1,9.833333333,62.15,9.5,1000.002
54.24,54,52,56.513,40.2,46.3,62.15,37.7,455.8
66.62,53.92,22,80.287,41,48.66666667,62.15,41.6,743.6
30.96,53.9,50,52.037,25.6,27.03333333,62.15,26.3,484.4
80.52,53.9,40,55.918,64.8,66.56666667,62.15,65,521
66.52,53.89,48,57.457,50.3,53.86666667,62.15,49.4,481.2
80.4,53.89,44,59.639,65.5,49.53333333,62.15,63.5,524.6
95.06,53.88,28,73.658,68.1,71.26666667,62.15,67.8,577
6.58,53.86,36,46.806,7.2,6.966666667,62.15,7.1,375
93.56,53.85,34,42.276,106.5,80.9,62.15,102,508.2
41.9,53.84,52,66.719,28,26.43333333,62.15,26.1,543.4
38.08,53.83,52,56.784,29.2,31.5,62.15,30.3,464.8
35.32,53.81,64,40.417,32.2,29.2,62.15,33,469
83.72,53.81,52,49.917,76.7,81.56666667,62.15,77.7,496.2
29.22,53.8,80,43.269,28.6,44.06666667,62.15,26.4,388.2
31.86,53.8,68,38.25,28.3,29.06666667,62.15,25.5,433.4
39.26,53.79,104,38.929,43,39.9,62.15,41.5,422
36.92,53.79,92,34.234,38.3,28.9,62.15,33.6,400
25.02,53.79,80,24.688,33.6,24.3,62.15,34.3,472.8
63.74,53.78,46,33.939,87,65.9,62.15,85.2,424.2
118.56,53.77,46,40.398,120.4,119,62.15,115,466.2
43.72,53.77,32,45.75,51.1,30.26666667,62.15,46.6,450
46.22,53.75,54,25.651,63.2,97.86666667,62.15,60.9,342.8
51.78,53.74,52,21.992,100.3,191.8666667,62.15,98.3,341.6
24.96,53.74,38,27.059,35.7,40.46666667,62.15,32.8,319.6
29.98,53.73,56,24.539,57.4,110.9333333,62.15,59.5,230
14.58,53.62,36,103.893,10.5,10.53333333,62.15,10.8,1000.002
86.8,53.61,28,75.674,74.1,50.16666667,62.15,67,1000.002
16.06,54.24,104,41.932,26.7,20.93333333,62.14,22.5,29.998
61.94,54.14,72,31.905,66.7,49.46666667,62.14,63.4,470.6
46.88,54.14,66,62.089,36.3,36.6,62.14,35.9,566.8
26.08,54.13,80,25.88,28,20.23333333,62.14,25.6,419
47.66,54.13,66,46.36,42.8,42.3,62.14,42.1,491
12.6,54.13,58,34.107,14.5,12.6,62.14,14.8,341.6
23.7,54.1,58,50.832,19.7,19.6,62.14,19.6,393.8
50.7,54.1,46,35.977,49,44.23333333,62.14,46.6,361.2
77.1,54.09,58,55.496,58.5,73.5,62.14,60.9,436.4
50.48,54.08,62,75.196,34.9,33.43333333,62.14,34.3,761.8
126,54.02,38,59.716,93.7,122.3666667,62.14,94.3,524.2
